,actor_name,actor_facebook_likes,actor_oscar_nom
112,Toby Jones,2000.0,
113,Daniel Radcliffe,11000.0,
115,Rupert Grint,10000.0,
116,Miguel Ferrer,688.0,
117,Ronny Cox,605.0,
118,Tony Curran,845.0,
120,Michael Gough,920.0,
121,Clint Howard,1000.0,
122,Karen Allen,784.0,
123,Suraj Sharma,774.0,
124,Demi Moore,2000.0,
126,Nathan Lane,886.0,
127,Vin Diesel,14000.0,
128,Scott Porter,690.0,
129,Shelley Conn,273.0,
132,Alain Delon,936.0,
133,Noel Fisher,833.0,
134,Phaldut Sharma,39.0,
135,Jamie Renée Smith,650.0,
136,Stephen Amell,5000.0,
137,Tim Blake Nelson,596.0,
138,Dwayne Johnson,12000.0,
139,Vincent Schiavelli,811.0,
142,James Corden,480.0,
143,George Peppard,669.0,
144,Eva Green,6000.0,
145,Mahadeo Shivraj,383.0,
146,Jacob Tremblay,681.0,
147,Jason Patric,673.0,
148,Sean Hayes,760.0,
151,Mathew Buck,5.0,
152,Del Zamora,752.0,
154,Cary-Hiroyuki Tagawa,1000.0,
155,Joe Morton,780.0,
157,Jamie Lee Curtis,2000.0,
159,Vanessa Williams,1000.0,
160,Eartha Kitt,558.0,
161,Catherine O'Hara,925.0,
162,Josh Hutcherson,14000.0,
163,Jake Busey,660.0,
164,Abbie Cornish,2000.0,
165,Frances Conroy,827.0,
166,Will Ferrell,8000.0,
167,Ray Winstone,1000.0,
168,Jamie Kennedy,490.0,
169,Rosario Dawson,3000.0,
170,Francesca Capaldi,144.0,
171,Ben Gazzara,623.0,
172,Jon Lovitz,11000.0,
173,Ioan Gruffudd,2000.0,
174,Milla Jovovich,14000.0,
175,Chris Noth,962.0,
176,Frank Welker,2000.0,
177,Hayley Atwell,2000.0,
178,Michael Imperioli,873.0,
179,Alexander Gould,1000.0,
180,Orlando Bloom,5000.0,
181,Michael Jeter,693.0,
183,Martin Short,770.0,
184,Dennis Quaid,2000.0,
186,Christopher Masterson,1000.0,
187,Logan Lerman,8000.0,
188,Mei Melançon,191.0,
189,Will Forte,622.0,
190,Denis Leary,835.0,
191,Adam Scott,3000.0,
193,Ming-Na Wen,2000.0,
194,Leonard Nimoy,12000.0,
195,Bella Thorne,35000.0,
196,Adam Sandler,11000.0,
198,Marsha Thomason,691.0,
199,Greg Grunberg,833.0,
200,Curtiss Cook,591.0,
201,Alun Armstrong,192.0,
204,William Smith,919.0,
205,Paddy Considine,680.0,
206,Shirley Henderson,887.0,
207,Jeff Bennett,283.0,
208,Caroline Dhavernas,544.0,
211,Jon Favreau,4000.0,
214,Li Gong,879.0,
215,Amber Stevens West,584.0,
216,Raymond Cruz,672.0,
220,Larry Miller,611.0,
221,Sarah Michelle Gellar,4000.0,
222,Wood Harris,409.0,
223,Ted Danson,875.0,
224,Kristen Stewart,17000.0,
225,Seth MacFarlane,3000.0,
227,Tia Carrere,1000.0,
228,Elden Henson,577.0,
229,Roger Rees,1000.0,
231,Elizabeth Montgomery,1000.0,
232,Quincy Jones,340.0,
234,Michael Emerson,2000.0,
235,Nissim Renard,23.0,
236,Bruce Greenwood,981.0,
238,Charlie Rowe,882.0,
239,Richard Tyson,743.0,
240,Brendan Fraser,3000.0,
241,Fergie,529.0,
242,Olivia Williams,766.0,
243,Adam Goldberg,1000.0,
244,Bob Neill,2.0,
245,Mia Farrow,563.0,
246,Pedro Armendáriz Jr.,67.0,
247,David Oyelowo,1000.0,
248,Sasha Roiz,795.0,
249,Sariann Monaco,163.0,
250,Steve Coogan,1000.0,
251,Jason Flemyng,1000.0,
253,Ariana Richards,610.0,
254,Jerry Stiller,719.0,
255,Harold Perrineau,1000.0,
256,Nicholas Lea,867.0,
257,Loretta Devine,912.0,
258,Adam Arkin,374.0,
259,Ayelet Zurer,745.0,
260,Tom Selleck,19000.0,
261,Julia Ormond,919.0,
262,Bai Ling,582.0,
263,Connie Nielsen,933.0,
264,Christopher Meloni,3000.0,
265,Peter Coyote,548.0,
266,Raven-Symoné,1000.0,
267,Mhairi Calvey,906.0,
270,David Gant,21.0,
271,Rory Culkin,710.0,
272,Rupert Everett,692.0,
273,Tim Conway,870.0,
274,Lili Taylor,960.0,
275,Nicole Beharie,898.0,
276,Sanaa Lathan,886.0,
277,LeVar Burton,1000.0,
278,David Hyde Pierce,443.0,
279,Jeremy Irvine,25000.0,
280,Michael Biehn,2000.0,
282,Gary Cole,989.0,
283,Theo James,5000.0,
284,James Martin Kelly,394.0,
285,LL Cool J,1000.0,
286,Talisa Soto,349.0,
287,Ron Howard,2000.0,
288,Lea Michele,2000.0,
290,Roxanne McKee,576.0,
291,Vincent Pastore,584.0,
292,Max Minghella,614.0,
293,Jenna Fischer,966.0,
294,Michael Raymond-James,788.0,
295,Rufus Sewell,3000.0,
296,Will Patton,537.0,
297,Hector Elizondo,995.0,
300,Goran Visnjic,1000.0,
301,Judge Reinhold,901.0,
302,Finn Wittrock,769.0,
304,Delroy Lindo,848.0,
305,Sayed Badreya,600.0,
307,Lea Thompson,1000.0,
308,Maura Tierney,509.0,
309,Melina Kanakaredes,394.0,
310,Pamela Reed,324.0,
311,Michael Rapaport,975.0,
312,Caitlin Stasey,623.0,
313,Ian McNeice,268.0,
314,Michael Kelly,963.0,
315,Michael Smiley,177.0,
316,Verne Troyer,645.0,
317,Wayne Knight,967.0,
318,Si Won Choi,21.0,
319,Shawna Waldron,524.0,
320,Craig Stark,46000.0,
321,Eric Dane,2000.0,
322,Jill Hennessy,419.0,
323,Patrick Fugit,835.0,
324,Izabella Scorupco,394.0,
325,Daniel von Bargen,577.0,
326,Natascha McElhone,2000.0,
328,Carol Ann Susi,3000.0,
329,Dorian Missick,1000.0,
330,Taylor Lautner,12000.0,
331,Ki Hong Lee,988.0,
332,Billy Burke,2000.0,
333,Misha Gabriel Hamilton,433.0,
334,Estella Warren,658.0,
335,Jennifer Saunders,309.0,
336,Zooey Deschanel,11000.0,
337,Snoop Dogg,881.0,
338,Jim Belushi,854.0,
339,James Babson,366.0,
340,Ivana Milicevic,834.0,
341,Emma Watson,9000.0,
342,Bianca Kajlich,732.0,
343,Romany Malco,966.0,
344,Peter Greene,789.0,
345,Colm Feore,539.0,
346,Gary Dourdan,1000.0,
347,Tate Donovan,650.0,
348,Isaac Hempstead Wright,874.0,
351,Olivia Wilde,10000.0,
352,Steven Anthony Lawrence,1000.0,
353,Blair Brown,310.0,
354,Cedric the Entertainer,436.0,
355,Bojana Novakovic,2000.0,
356,John Kapelos,510.0,
357,Sunny Mabrey,287.0,
358,Josh Wingate,865.0,
359,Sean Pertwee,722.0,
360,Clifton Collins Jr.,968.0,
362,Matt Bomer,20000.0,
363,Marc Blucas,973.0,
364,Dougray Scott,794.0,
365,Kelly Preston,743.0,
366,Odeya Rush,2000.0,
367,Nate Richert,870.0,
368,Jon Heder,970.0,
369,Taylor Negron,1000.0,
370,Robert Baker,142.0,
371,Barry Corbin,883.0,
372,Jesse McCartney,1000.0,
374,Alyson Hannigan,3000.0,
375,Mila Kunis,15000.0,
376,Eric Idle,795.0,
377,Erika Christensen,931.0,
378,David Carradine,926.0,
379,Christopher Judge,847.0,
380,Xander Berkeley,485.0,
381,Madeline Carroll,1000.0,
382,Charles S. Dutton,534.0,
383,Andrea Corr,57.0,
387,Billy Campbell,789.0,
388,Stephen Root,939.0,
389,Sophia Myles,956.0,
390,Denis Lavant,226.0,
392,Norman Reedus,12000.0,
393,Todd Stashwick,277.0,
394,Margot Kidder,593.0,
395,Todd Giebenhain,117.0,
396,Kirsten Dunst,4000.0,
397,Quentin Tarantino,16000.0,
398,Jennifer Ehle,1000.0,
399,Alice Greczyn,631.0,
400,Matt Price,134.0,
401,Kasia Smutniak,211.0,
402,Jaime King,961.0,
403,Rob Paulsen,677.0,
404,Kathleen Freeman,145.0,
405,Lupe Ontiveros,625.0,
406,Joel Courtney,1000.0,
407,Bill Duke,1000.0,
408,Dylan Walsh,426.0,
409,Fann Wong,154.0,
410,Bernard Hill,416.0,
411,Scoot McNairy,660.0,
412,Olivier Martinez,838.0,
413,Alex Pettyfer,15000.0,
415,Deborah Kara Unger,495.0,
416,Radha Mitchell,992.0,
417,Matt Walsh,490.0,
418,Louis Lombardi,437.0,
420,Mike Starr,854.0,
421,Amber Valletta,627.0,
422,Shô Kosugi,330.0,
423,David Jason,325.0,
424,Muse Watson,45000.0,
425,J.D. Evermore,430.0,
426,Grey Damon,629.0,
427,Christina Milian,1000.0,
428,Paul Brooke,51.0,
429,Mia Kirshner,972.0,
430,Julie Benz,3000.0,
431,Ian Ziering,984.0,
432,Alden Ehrenreich,1000.0,
433,Chris Klein,841.0,
434,Tobias Menzies,1000.0,
435,Lauren Holly,879.0,
436,Michael O'Neill,599.0,
437,P.J. Soles,598.0,
438,Corinna Harney,779.0,
439,Nandita Das,113.0,
440,Charlie Korsmo,678.0,
441,Mark Margolis,1000.0,
443,Donatas Banionis,29.0,
444,Joseph Gilgun,788.0,
446,Jonathan Winters,924.0,
447,Regina Hall,807.0,
449,Bradley Whitford,821.0,
450,Natasha Lyonne,1000.0,
451,Bill Cobbs,970.0,
452,Sydney Pollack,521.0,
453,Adam Garcia,811.0,
454,Lucille Ball,6000.0,
455,Dania Ramirez,1000.0,
457,Richard Burgi,550.0,
458,Kevin McNally,427.0,
460,Jim Sturgess,5000.0,
461,Alexa PenaVega,2000.0,
462,John de Lancie,905.0,
463,Malese Jow,1000.0,
464,Costas Mandylor,723.0,
465,Marcela Mar,267.0,
466,Pierre Perrier,164.0,
469,Clea DuVall,1000.0,
470,Mel Blanc,1000.0,
471,Judith Chapman,44.0,
472,Augustus Prew,405.0,
474,John Witherspoon,723.0,
475,Debra Messing,650.0,
476,Bono,468.0,
477,Robert Davi,683.0,
478,Fisher Stevens,922.0,
479,Tony Cox,624.0,
480,Omar Sy,1000.0,
481,Mekhi Phifer,1000.0,
482,Jamel Debbouze,326.0,
483,Julian Sands,687.0,
484,Robert Clohessy,107.0,
485,Joel McHale,734.0,
486,Martin Kove,668.0,
487,Tom Welling,3000.0,
488,Jerry Ferrara,480.0,
489,Javier Botet,1000.0,
491,Carmen Perez,97.0,
492,Beau Mirchoff,2000.0,
493,Kelly Rutherford,287.0,
494,Olivia Munn,2000.0,
495,Wes Studi,855.0,
496,Bokeem Woodbine,904.0,
497,Jason Alexander,700.0,
499,Matthew Perry,2000.0,
500,Krista Allen,164000.0,
501,Joaquim de Almeida,578.0,
502,Pink,836.0,
503,Lisa Ann Walter,1000.0,
504,Michael Jai White,2000.0,
505,Rudy Youngblood,708.0,
506,Joe Don Baker,387.0,
507,Topher Grace,2000.0,
508,Brian Dennehy,954.0,
510,Busy Philipps,1000.0,
511,Johnny Cannizzaro,880.0,
513,Sam Trammell,1000.0,
514,Macaulay Culkin,3000.0,
515,Bobby Lee,176.0,
516,Miriam Margolyes,405.0,
517,Alison Brie,2000.0,
518,Michael Wincott,720.0,
519,James Wilcox,683.0,
520,Emma Bell,703.0,
521,Jimmy Fallon,787.0,
522,Bruce Dinsmore,51.0,
523,Noah Bean,293.0,
524,50 Cent,1000.0,
525,Oliver Hudson,607.0,
528,Jordi Mollà,877.0,
530,Dane Cook,1000.0,
531,Bobbie Phillips,16000.0,
533,Richard Epcar,782.0,
534,Mathieu Kassovitz,326.0,
535,Mary-Kate Olsen,976.0,
536,Omar Epps,865.0,
537,Justin Theroux,1000.0,
538,M. Emmet Walsh,521.0,
539,Bridgette Wilson-Sampras,545.0,
540,John Gatins,61.0,
541,Sarah Roemer,884.0,
542,James Brolin,499.0,
544,Jay Hernandez,1000.0,
545,Tamannaah Bhatia,218.0,
546,Arliss Howard,152.0,
547,Colin Ferguson,747.0,
548,Adam Baldwin,2000.0,
549,Takeshi Kaneshiro,755.0,
550,Ethan Embry,982.0,
551,Austin Pendleton,592.0,
552,Tony Chiu Wai Leung,643.0,
553,Blythe Auffarth,76.0,
554,Sarah Silverman,931.0,
555,D.B. Woodside,598.0,
556,Sonia Braga,308.0,
557,Beth Grant,628.0,
559,Wilford Brimley,957.0,
560,Gregory Scott Cummins,37.0,
561,Tom Skerritt,1000.0,
562,Mike Howard,378.0,
563,Hayden Christensen,4000.0,
564,Patton Oswalt,786.0,
565,Laura-Leigh,740.0,
566,Yuliya Snigir,463.0,
568,Bernie Casey,180.0,
569,Charlie McDermott,496.0,
570,Rick Yune,746.0,
571,Blair Underwood,685.0,
573,Cheryl Hines,541.0,
574,Mike Tyson,461.0,
575,Rene Russo,808.0,
576,Catherine Dyer,768.0,
577,Jon Foo,778.0,
578,Amy Schumer,492.0,
579,Michael Angarano,947.0,
580,Natasha Henstridge,900.0,
581,Dylan Baker,812.0,
582,Scott Glenn,826.0,
583,Charlyne Yi,529.0,
584,Craig Parker,978.0,
585,Heather O'Rourke,887.0,
586,Danneel Ackles,1000.0,
587,Ashley Williams,969.0,
588,Jodi Lyn O'Keefe,897.0,
590,Emilia Fox,396.0,
592,Robert Ri'chard,730.0,
593,Aaliyah,775.0,
594,Brian Blessed,591.0,
596,Daniel Mays,287.0,
597,Frank Whaley,436.0,
598,Mitch Pileggi,826.0,
599,Ken Arnold,327.0,
600,Drake Bell,1000.0,
601,Alona Tal,1000.0,
602,Shannon Elizabeth,1000.0,
603,Jim Gaffigan,472.0,
604,Alex Russell,465.0,
605,Rosanna Arquette,605.0,
606,Tim Meadows,553.0,
607,Gregory Smith,694.0,
608,Michiel Huisman,2000.0,
609,Paul Sorvino,635.0,
610,Mireille Enos,1000.0,
611,Kevin Zegers,2000.0,
612,Marley Shelton,690.0,
613,Archie Panjabi,883.0,
614,Ruth Wilson,2000.0,
615,Oliver Reed,695.0,
616,Jeremy W. Auman,3.0,
617,Maricel Álvarez,30.0,
620,Rumi Hiiragi,6.0,
621,Tiago Riani,989.0,
622,Liam Aiken,818.0,
623,Terry Pheto,113.0,
624,Nia Long,826.0,
625,Kyle Hebert,324.0,
626,Ryan Guzman,3000.0,
627,Lin Shaye,852.0,
628,Laura Harring,669.0,
629,Ryan Kruger,165.0,
631,Ana de la Reguera,678.0,
632,Matt Lucas,722.0,
633,Brandon T. Jackson,918.0,
634,Illeana Douglas,344.0,
635,Callum Rennie,716.0,
636,Ken Howard,649.0,
637,Frances Fisher,638.0,
638,Alice Braga,1000.0,
641,Rob Riggle,839.0,
642,Alicia Witt,975.0,
643,Desmond Llewelyn,244.0,
644,Sharlto Copley,2000.0,
645,John Doman,616.0,
646,Emily Osment,1000.0,
647,Elizabeth Daily,971.0,
648,George Carlin,769.0,
649,Hope Davis,442.0,
650,Cory Hardrict,303.0,
651,Zach Gilford,971.0,
652,Josh Charles,1000.0,
653,Tina Fey,2000.0,
654,Antony Starr,506.0,
655,Kurt Fuller,617.0,
656,Brenda Song,1000.0,
657,Patrick Macnee,1000.0,
658,Mark Gatiss,567.0,
659,Kate Upton,971.0,
660,Mehcad Brooks,696.0,
661,Edgar Arreola,455.0,
662,Alyson Stoner,2000.0,
663,Faizon Love,585.0,
664,Danny Huston,430.0,
665,Carmen Electra,869.0,
666,Yaphet Kotto,581.0,
667,Jessica Barden,157.0,
668,Brian Thompson,663.0,
669,Debi Mazar,680.0,
670,Devin Ratray,1000.0,
671,Craig Ferguson,759.0,
673,Tika Sumpter,521.0,
674,Rainn Wilson,973.0,
675,Sarah Polley,900.0,
676,Eddie Cibrian,849.0,
677,Jessica Paré,489.0,
678,Grace Phipps,596.0,
679,Saffron Burrows,811.0,
680,Ian Whyte,473.0,
681,Annabella Sciorra,448.0,
682,Ólafur Darri Ólafsson,147.0,
683,Tyler Labine,779.0,
684,Emir Kusturica,2000.0,
686,Dong-gun Jang,489.0,
687,Steve Howey,826.0,
688,Louise Bourgoin,295.0,
689,Paz Vega,963.0,
690,Konstantin Khabenskiy,114.0,
691,Sandra Ellis Lafferty,523.0,
692,Amanda Schull,757.0,
693,Lisa Edelstein,955.0,
694,Dick Clark,504.0,
695,Aldis Hodge,559.0,
696,Joe Lo Truglio,833.0,
697,Eddie Cahill,639.0,
698,Shun Oguri,173.0,
699,Julian Glover,844.0,
700,Lilli Lavine,11.0,
701,Mia Sara,664.0,
702,David Lyons,576.0,
703,Vinessa Shaw,580.0,
704,Zoë Kravitz,943.0,
706,Talulah Riley,422.0,
707,Philip Baker Hall,497.0,
708,Jacques Perrin,63.0,
709,Samaire Armstrong,806.0,
710,Scott Grimes,738.0,
711,Mara Wilson,1000.0,
712,Dominic Flores,1000.0,
713,Matt Smith,2000.0,
714,Tenzin Thuthob Tsarong,2.0,
715,Louis Jourdan,594.0,
716,Harold Ramis,11000.0,
717,Richard Wilson,358.0,
718,Phil Davis,386.0,
720,John Belushi,1000.0,
721,America Ferrera,953.0,
722,Dolly Parton,1000.0,
723,Sharon Small,66.0,
724,Gerald McRaney,523.0,
727,Harry Lennix,748.0,
728,Meat Loaf,783.0,
729,Kim-Marie Woodhouse,5.0,
730,Erick Avari,567.0,
731,Rob McElhenney,813.0,
733,Robert Pine,332.0,
734,Sarah Carter,748.0,
735,Daniel Roebuck,1000.0,
736,Pam Ferris,771.0,
738,Christopher Lambert,1000.0,
739,David Conrad,642.0,
741,Paul Hogan,442.0,
742,Christo Jivkov,260.0,
743,Luke Bracey,775.0,
744,Katharine Isabelle,918.0,
745,Cara Delevingne,554.0,
746,Mike Vogel,2000.0,
747,Kevin Nash,642.0,
748,Bruce McGill,655.0,
750,Mary Lynn Rajskub,934.0,
751,Bailee Madison,3000.0,
753,Chelan Simmons,440.0,
754,Blythe Danner,713.0,
755,Darcy Donavan,640000.0,
756,Heather Locklear,695.0,
757,Jim Meskimen,272.0,
758,Dave Chappelle,744.0,
759,Nicki Aycox,296.0,
760,Lily Atkinson,328.0,
761,Nicholas Gonzalez,601.0,
762,Fanny Ardant,288.0,
763,Alexis Arquette,285.0,
764,Joseph Cotten,469.0,
765,Ari Graynor,904.0,
766,Jere Burns,460.0,
767,Connie Ray,90.0,
768,Aimee Garcia,618.0,
769,Justin Fletcher,45.0,
770,Claudia Christian,462.0,
771,Tyler James Williams,931.0,
773,Stephen Dillane,577.0,
774,Laura Ramsey,960.0,
775,Mark Valley,774.0,
776,Frank Grillo,798.0,
777,Chris Marquette,355.0,
778,Martin Starr,985.0,
780,Chris Zylka,963.0,
782,Marco Treviño,562.0,
783,Victor Wong,400.0,
784,Dany Boon,172.0,
786,John Doe,181.0,
787,Kyra Sedgwick,941.0,
788,Alexander Skarsgård,10000.0,
789,Brian Bosworth,174.0,
790,Tanya Roberts,433.0,
791,Cheech Marin,843.0,
792,Donald Faison,927.0,
793,Don McKellar,45.0,
794,Dallas Barnett,473.0,
795,Zoe Kazan,962.0,
796,François Cluzet,541.0,
797,Scout Taylor-Compton,908.0,
798,Yolande Moreau,44.0,
799,Sergey Garmash,21.0,
801,Siu-Wong Fan,79.0,
803,Gerry Bednob,218.0,
804,Lena Horne,738.0,
805,Willie Garson,512.0,
806,Donald Pleasence,742.0,
808,Judith Barsi,912.0,
809,Tasha Smith,721.0,
810,Alessandro Nivola,527.0,
811,Tom Burke,201.0,
812,Cole Hauser,787.0,
813,Romola Garai,805.0,
814,Bingbing Fan,556.0,
815,Drew Powell,129.0,
816,Joan Rivers,1000.0,
817,Cem Yilmaz,523.0,
818,Manish Dayal,820.0,
819,Roma Downey,329.0,
820,Denis O'Hare,896.0,
821,Carlos Ponce,591.0,
822,Jack Reynor,390.0,
823,Radivoje Bukvic,150.0,
824,Amanda Detmer,240.0,
825,Zachary Gordon,975.0,
827,Ed Skrein,805.0,
828,Gary Lewis,203.0,
829,Romain Duris,809.0,
830,Pablo Rago,20.0,
831,Ornella Muti,385.0,
832,Paige Turco,533.0,
833,Hunter Parrish,2000.0,
834,Omari Hardwick,1000.0,
835,Jason London,711.0,
836,Chris Harrison,98.0,
837,Elaine Hendrix,670.0,
838,Bob Balaban,559.0,
839,Ian Somerhalder,16000.0,
841,Angus T. Jones,1000.0,
842,Bam Margera,608.0,
843,Mackenzie Foy,6000.0,
844,Miranda Cosgrove,2000.0,
845,Shailene Woodley,8000.0,
846,Leonard Roberts,962.0,
847,Sam Claflin,11000.0,
848,John Amos,982.0,
849,Barry Watson,526.0,
850,Kath Soucie,304.0,
851,Lamman Rucker,607.0,
852,Billy Crudup,745.0,
853,Richard Lawson,508.0,
854,Violante Placido,978.0,
855,Jon Seda,565.0,
856,Diedrich Bader,759.0,
857,Jeremy Shada,860.0,
858,Gunnar Hansen,383.0,
859,William McNamara,10000.0,
860,Marisa Saks,31000.0,
862,Isaiah Washington,534.0,
863,Sela Ward,812.0,
864,Johnny Lewis,741.0,
865,Kay Panabaker,720.0,
866,Jay Laga'aia,125.0,
867,Leighton Meester,3000.0,
868,Kevin Sussman,681.0,
869,Kurtwood Smith,1000.0,
870,Samira Wiley,646.0,
871,Sheryl Lee,2000.0,
872,Pablo Sevilla,0.0,
875,Shengyi Huang,264.0,
876,Leah Remini,909.0,
877,Mustafa Haidari,283.0,
878,Thomas Lennon,651.0,
879,Andy Dick,302.0,
880,Ronald Reagan,1000.0,
881,Andrew Fiscella,137000.0,
882,James Callis,541.0,
883,Aasif Mandvi,346.0,
884,Taylor Cole,969.0,
885,Quinton Aaron,734.0,
886,Aisha Tyler,856.0,
887,Scott Baio,650.0,
889,Sammy Davis Jr.,683.0,
890,Martin Dew,204.0,
891,Chris Brown,997.0,
892,Chriss Anglin,885.0,
893,Kevin Alejandro,1000.0,
894,Catherine Lough Haggquist,310.0,
895,Cameron Bright,829.0,
896,Landon Liboiron,1000.0,
897,Dylan Authors,20.0,
899,Steve Guttenberg,801.0,
900,Donny Boaz,2000.0,
901,Damon Wayans,836.0,
902,William Hootkins,488.0,
903,Esai Morales,699.0,
904,Jiao Xu,46.0,
905,Christian Clavier,106.0,
906,Marco St. John,403.0,
907,Peter Vaughan,310.0,
908,Necar Zadegan,344.0,
909,Andy Lau,483.0,
910,Mani Bharathi,109.0,
911,Joey D. Vieira,729.0,
912,Moritz Bleibtreu,486.0,
914,Dan Byrd,1000.0,
915,David Arquette,611.0,
916,Scatman Crothers,888.0,
917,Jeffrey Combs,885.0,
918,Eric Mendenhall,607.0,
919,Kari J. Kramer,731.0,
920,Taran Killam,500.0,
921,Mem Ferda,31000.0,
922,Nicole 'Snooki' Polizzi,341.0,
923,Bunta Sugawara,17.0,
924,Katrina Bowden,948.0,
925,Darci Kistler,2.0,
926,Tony Nappo,654.0,
927,Louis Koo,82.0,
928,Craig Roberts,920.0,
929,Luenell,332.0,
930,Linda Cardellini,2000.0,
931,Craig T. Nelson,723.0,
932,Nia Vardalos,567.0,
933,Shane Black,1000.0,
934,Jeffrey Jones,692.0,
935,Raoul Bova,727.0,
937,Peter Gallagher,828.0,
939,Christian Clemenson,97.0,
940,Christian Monzon,2000.0,
941,Hulk Hogan,844.0,
942,Bob Newhart,643.0,
943,Collette Wolfe,390.0,
944,Nicholas Rowe,155.0,
945,Kelsey Grammer,808.0,
946,Alan Ruck,946.0,
948,Nancy Allen,517.0,
949,Rebecca Budig,210.0,
951,Yaya DaCosta,712.0,
952,David Margulies,567.0,
953,Ian McDiarmid,1000.0,
954,David Masterson,577.0,
955,Tadanobu Asano,627.0,
956,Barry Bostwick,456.0,
958,Poppy Montgomery,654.0,
959,Ulrich Tukur,63.0,
960,James Hetfield,364.0,
961,Austin Nichols,663.0,
962,Edgar Ramírez,897.0,
963,Takuya Kimura,84.0,
964,Greg Nicotero,1000.0,
965,Ernie Reyes Jr.,444.0,
966,Vanessa Ferlito,923.0,
967,Jason Momoa,11000.0,
968,Cassie Ventura,158.0,
969,Henry Ian Cusick,866.0,
971,Kirk Fox,109.0,
972,Fionnula Flanagan,482.0,
973,Jeremy Brett,453.0,
974,Chris Moss,33000.0,
975,Emmanuelle Vaugier,1000.0,
976,Kevin Grevioux,593.0,
977,Morgan Saylor,427.0,
978,T.I.,680.0,
979,Thomas F. Wilson,690.0,
981,Lou Taylor Pucci,394.0,
982,DeRay Davis,328.0,
983,Aidan Quinn,767.0,
984,Tippi Hedren,634.0,
986,Julianna Guill,465.0,
988,Danny Strong,714.0,
989,Bruno Kirby,227.0,
990,Ethan Suplee,1000.0,
992,Clive Russell,241.0,
993,Jennifer Esposito,911.0,
994,Ivana Baquero,634.0,
995,Leslie Bibb,1000.0,
996,Brittany Daniel,861.0,
997,Bolo Yeung,633.0,
998,Bill Bailey,175.0,
999,Gustaf Skarsgård,908.0,
1000,Gretchen Mol,599.0,
1001,Farrah Fawcett,1000.0,
1002,Lochlyn Munro,555.0,
1003,Alison Lohman,1000.0,
1004,Charles Napier,503.0,
1005,Paz de la Huerta,488.0,
1006,Steven Van Zandt,422.0,
1007,David Alpay,232.0,
1009,Carole Bouquet,235.0,
1010,Dustin Milligan,499.0,
1011,Chen Chang,103.0,
1012,Bex Taylor-Klaus,460.0,
1013,Nicole Dionne,94.0,
1014,Beverly D'Angelo,816.0,
1015,Jackson Nicoll,925.0,
1016,Roger Allam,326.0,
1017,Frankie Muniz,934.0,
1018,Clayton Snyder,925.0,
1019,Jordana Brewster,4000.0,
1020,Rae'Ven Kelly,90.0,
1022,Tony Goldwyn,956.0,
1023,Jack Davenport,1000.0,
1024,Jessie T. Usher,116.0,
1025,Kim Director,193.0,
